Name,Age,Position,fangraphsId,bbrefId
Jason Adam,27,RP,11861,adamja01
Junichi Tazawa,33,RP,4079,tazawju01
Brandon Maurer,28,RP,4878,maurebr01
Blaine Boyer,37,RP,2237,boyerbl01
Josh Tomlin,34,RP,9388,tomlijo01
Matt Joyce,34,LF,3353,joycema01
Martín Maldonado,32,C,6887,maldoma01
René Rivera,35,C,3648,riverre01
Stephen Vogt,34,C,5000,vogtst01
Asdrúbal Cabrera,33,2B,4962,cabreas01
Sean Rodríguez,34,2B,6589,rodrise01
Brett Lawrie,29,2B,5247,lawribr01
Danny Espinosa,32,2B,9219,espinda01
José Reyes,36,3B,1736,reyesjo01
José Iglesias,29,SS,10231,iglesjo01
Troy Tulowitzki,34,SS,3531,tulowtr01
Grégor Blanco,35,LF,3123,blancgr01
Ben Revere,30,LF,4712,reverbe01
Gorkys Hernández,31,CF,4146,hernago01
Carlos González,33,RF,7287,gonzaca01
José Bautista,38,RF,1887,bautijo02
Avisaíl García,28,RF,5760,garciav01
Carlos Gómez,33,RF,4881,gomezca01
Pedro Álvarez,32,DH,2495,alvarpe01
Aníbal Sánchez,35,SP,3284,sanchan01
Martin Pérez,28,SP,6902,perezma02
Miguel González,35,SP,7024,gonzami03
Yusei Kikuchi,28,SP,20633,kikucyu01
Nate Karns,31,SP,12638,karnsna01
Ricky Nolasco,36,SP,3830,nolasri01
Oliver Pérez,37,RP,1514,perezol01
Luis Avilán,29,RP,2882,avilalu01
Xavier Cedeño,32,RP,36,cedenxa01
Jeanmar Gómez,31,RP,9033,gomezje01
Ricardo Rodríguez,26,RP,15458,rodriri04
Héctor Santiago,31,RP,4026,santihe01
Joaquin Benoit,41,RP,1437,benoijo01
Samir Dueñez,22,RP,sa739574,duenez000sam
Jandel Gustave,26,RP,14665,gustaja01
Andres Machado,25,RP,14681,machaan02
Jenrry Mejia,29,RP,8476,mejiaje01
David Phelps,32,RP,6316,phelpda01
Justin Nicolino,27,RP,11754,nicolju01
