mlbId,LastName,firstInitial
489446,Yates, K
519455,Zimmermann, J
592094,Adam, J
613534,Adams, A
664856,Adams, C
458006,Albers, M
622505,Alcantara, V
592102,Allen, C
621237,Alvarado, J
501625,Alvarez, J
605121,Anderson, J
644364,Arano, V
542888,Armstrong, S
594742,Asher, A
446099,Axford, J
622783,Baez, S
592127,Barbato, J
592130,Barnes, D
606930,Barnes, J
598264,Barnes, M
501817,Barnette, T
607457,Barraclough, K
545332,Barrett, J
542914,Bass, A
639373,Bautista, G
592135,Bedrosian, C
279571,Belisle, M
607352,Biagini, J
605143,Black, R
542946,Bleich, J
542947,Bleier, R
502202,Boxberger, B
430641,Boyer, B
542960,Brach, B
611093,Bracho, S
605151,Bradley, A
518489,Brasier, R
605155,Brewer, C
502154,Britton, Z
571521,Brothers, R
488748,Buchter, R
607481,Bummer, A
595897,Burdi, N
669203,Burnes, C
456713,Bush, M
621142,Buttrey, T
433586,Casilla, S
612434,Castro, M
446399,Cecil, B
458584,Cedeno, X
605177,Chafin, A
547973,Chapman, A
571561,Cingrani, T
592222,Claudio, A
461325,Clippard, T
518566,Cole, T
488786,Coleman, L
525768,Collins, T
517008,Colome, A
543045,Conley, A
571577,Copeland, S
622772,Cordero, J
543056,Coulombe, D
605195,Crick, K
641490,Crockett, K
571035,Cuevas, W
657205,Curtis, Z
451584,Davis, W
517414,Delgado, R
606965,Devenski, C
621242,Diaz, E
622766,Diaz, M
518617,Diekman, J
448281,Doolittle, S
543118,Drake, O
623430,Dull, R
445197,Dunn, M
473879,Dyson, S
605218,Edwards Jr., C
544727,Familia, J
571656,Farmer, B
622774,Fernandez, J
670036,Festa, M
451661,Fields, J
623167,Flexen, C
521655,Font, W
502273,Freeman, M
605240,Fry, J
643316,Fry, P
608334,Fulmer, C
472610,Garcia, L
554340,Garcia, Y
518715,Gearrin, C
571704,Giles, K
571710,Givens, M
606983,Glover, K
592340,Goeddel, E
641627,Gott, T
643338,Green, C
572888,Greene, S
502381,Gregerson, L
457915,Guerra, J
594027,Guerrero, T
605260,Guerrieri, T
543258,Guilmet, P
664180,Hall, M
621098,Hanhold, E
543278,Hardy, B
501789,Harris, W
643354,Hart, D
501822,Hatcher, C
521230,Hendriks, L
516969,Herrera, K
657610,Hildenberger, T
656546,Hoffman, J
656547,Holder, J
518813,Holland, G
543331,Hoover, J
605288,Houser, A
607572,Howard, S
453172,Hughes, J
445276,Jansen, K
502026,Jeffress, J
605301,Jerez, W
641729,Jimenez, J
597113,Johnson, DJ
462382,Johnson, J
518858,Jones, N
642558,Jurado, A
592454,Kahnle, T
605309,Kela, K
523260,Kelly, J
